name;position_id
Centre-Forward;1314
Goalkeeper;647
Centre-Back;61
Left-Back;61
Attacking Midfield;741
Central Midfield;741
Defensive Midfield;741
Left Midfield;741
Left Winger;1314
Right-Back;61
Second Striker;1314
Right Winger;1314
Right Midfield;741
