game_id,competition_id,season,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position
3602619,RU1,2021,2698,41231,0,6,13,3
3603092,SC1,2021,1241,903,1,0,8,6
3603094,SC1,2021,2578,465,0,0,10,9
3603111,SC1,2021,2759,124,2,4,10,5
3603130,SC1,2021,2578,1519,0,0,11,8
3603134,SC1,2021,903,2578,1,0,2,9
3603209,SC1,2021,371,124,3,0,2,1
3603217,SC1,2021,1519,2578,0,1,4,9
3603229,SC1,2021,43,511,1,2,3,11
3605218,ES1,2021,714,1108,1,0,13,20
3607531,ES1,2021,13,150,3,0,4,5
3607573,ES1,2021,940,1049,1,2,15,8
3607592,ES1,2021,237,940,0,0,13,15
3610342,ES1,2021,237,621,3,2,15,8
3611463,ES1,2021,2687,621,2,3,17,8
3611473,ES1,2021,16795,940,1,1,18,12
3611483,ES1,2021,237,16795,2,6,18,17
3612879,TR1,2021,3840,126,3,1,15,19
3612889,TR1,2021,2293,449,2,2,5,1
3612913,TR1,2021,449,36,3,1,1,2
3612919,TR1,2021,3840,19789,0,2,10,16
3612951,TR1,2021,1467,2293,0,2,18,3
3612959,TR1,2021,2293,126,3,0,3,20
3612966,TR1,2021,19789,141,0,0,17,7
3613001,TR1,2021,1467,6646,0,1,19,10
3613006,TR1,2021,19789,3205,2,2,18,15
3613007,TR1,2021,589,10484,1,1,13,20
3613022,TR1,2021,126,2832,0,1,17,8
3613090,TR1,2021,126,6890,0,2,18,3
3613094,TR1,2021,6890,6646,1,2,3,9
3613098,TR1,2021,449,3205,3,2,1,10
3613103,TR1,2021,36,449,1,1,4,1
3613169,TR1,2021,19789,2293,2,3,20,3
3613189,TR1,2021,2832,3205,1,1,16,14
3613206,TR1,2021,6890,449,3,1,4,1
3614510,IT1,2021,6195,607,2,0,4,19
3614545,IT1,2021,5,398,2,0,2,7
3614576,IT1,2021,506,1038,3,2,10,16
3614606,IT1,2021,800,410,1,1,7,14
3614627,IT1,2021,800,398,2,2,5,6
3614632,IT1,2021,46,410,2,0,3,14
3614636,IT1,2021,416,1038,3,0,12,15
3614675,IT1,2021,410,252,0,0,14,18
3614698,IT1,2021,430,380,4,0,5,20
3614699,IT1,2021,252,1038,1,3,18,14
3614714,IT1,2021,380,46,0,5,20,1
3614719,IT1,2021,607,398,1,3,16,8
3614740,IT1,2021,430,252,6,0,8,20
3614763,IT1,2021,12,252,0,0,7,20
3614783,IT1,2021,12,276,2,2,8,9
3614844,IT1,2021,12,380,2,1,5,18
3614912,IT1,2021,398,276,3,3,5,9
3621361,PO1,2021,2503,2995,3,0,7,12
3621409,PO1,2021,8024,2420,2,2,13,10
3621413,PO1,2021,979,2995,1,1,15,10
3621442,PO1,2021,2457,294,0,7,17,3
3621460,PO1,2021,3329,294,1,4,15,3
3621476,PO1,2021,2420,979,2,1,7,15
3621532,PO1,2021,979,2457,4,1,15,18
3621539,PO1,2021,2995,979,2,1,9,17
3621575,PO1,2021,2423,2995,2,0,7,10
3621641,PO1,2021,2423,6912,3,1,10,14
3645164,ELQ,2021,371,1090,2,0,,
3651030,CL,2021,338,294,0,0,,
3651086,CL,2021,294,27,0,4,,
3651100,CL,2021,506,964,4,2,,
3651109,CL,2021,338,27,1,2,,
3651116,CL,2021,631,506,4,0,,
3651140,CL,2021,964,631,3,3,,
3653137,CIT,2021,252,380,1,0,,
3673538,GR1,2021,653,605,1,1,7,4
3677108,GRP,2021,2672,6676,1,0,,
3690082,NLP,2021,317,234,2,1,,
3716582,CDR,2021,366,150,0,3,,
3716649,POCP,2021,294,2503,4,3,,
3716657,GR1,2021,2671,3060,1,1,6,13
3716661,GR1,2021,605,3999,0,0,5,12
3716696,GR1,2021,2671,441,2,0,6,14
3716841,CIT,2021,398,410,1,0,,
3733607,NLP,2021,306,1435,0,1,,
3748331,CDR,2021,621,1049,1,1,,
3758672,FAC,2021,1031,631,2,3,,
3773620,EL,2021,24,131,1,1,,
3773623,EL,2021,800,23826,0,2,,
3775361,FAC,2021,281,31,2,3,,
3828414,DK1,2022,369,1177,2,2,5,6
3828509,DK1,2022,678,190,0,2,8,3
3828515,DK1,2022,1053,678,0,1,11,5
3837861,GB1,2022,180,631,2,1,9,10
3837990,GB1,2022,873,985,1,1,12,5
3838017,GB1,2022,379,543,2,0,17,18
3838230,GB1,2022,281,931,2,1,1,8
3838234,GB1,2022,379,873,1,2,15,10
3838239,GB1,2022,31,180,3,1,7,19
3838270,GB1,2022,379,1148,0,2,17,9
3838273,GB1,2022,405,543,1,1,11,19
3838279,GB1,2022,1003,931,0,1,14,8
3838603,GB1,2022,989,985,0,1,15,3
3838626,GB1,2022,31,1148,1,0,5,9
3838639,GB1,2022,762,180,3,1,3,20
3838666,GB1,2022,985,631,4,1,4,11
3838675,GB1,2022,405,762,3,0,8,3
3838761,GB1,2022,379,631,1,1,17,10
3839137,L1,2022,18,23826,3,0,6,12
3839153,L1,2022,3,16,3,2,7,4
3839203,L1,2022,44,33,2,1,13,18
3839262,L1,2022,18,16,4,2,8,6
3839317,L1,2022,533,18,1,4,13,8
3839334,L1,2022,24,44,3,0,5,17
